Date/Time,Cogeneration:ElectricitySurplusSold [J](Hourly),Cogeneration:ElectricityPurchased [J](Hourly),Photovoltaic:ElectricityProduced [J](Hourly) 
 01/03  10:00:00,1954484.14552844,13486.8032572348,7938100.3990879 
 01/03  11:00:00,2839514.99639326,0.0,8439986.10513208 
 01/03  12:00:00,0.0,1540801.52669043,3885863.74224923 
 01/03  13:00:00,0.0,886043.606443989,4176332.10768984 
 01/03  14:00:00,0.0,260395.515872957,4555896.81624404 
 01/03  15:00:00,0.0,776493.543358564,3847281.19179902 
 01/03  16:00:00,0.0,1223352.6440779,3643225.60498718 
 01/03  17:00:00,0.0,2073181.54368703,4022057.85829569 
 01/03  18:00:00,0.0,6873776.1082436,292013.367255378 
 01/03  19:00:00,0.0,8010853.91591809,0.0 
 01/03  20:00:00,0.0,7976103.83383731,0.0 
 01/03  21:00:00,0.0,7679600.57244325,0.0 
 01/03  22:00:00,0.0,6950890.62302328,0.0 
 01/03  23:00:00,0.0,5560558.07133671,0.0 
 01/03  24:00:00,0.0,5145100.94799316,0.0 
 01/04  01:00:00,0.0,5313734.27779252,0.0 
 01/04  02:00:00,0.0,6093943.8156354,0.0 
 01/04  03:00:00,0.0,6859628.88386516,0.0 
 01/04  04:00:00,0.0,7818811.34336248,0.0 
 01/04  05:00:00,0.0,9217355.10497432,0.0 
 01/04  06:00:00,0.0,10732296.2813214,0.0 
 01/04  07:00:00,0.0,12403910.8840319,0.0 
 01/04  08:00:00,0.0,12089724.6983644,493851.665640738 
 01/04  09:00:00,0.0,5050025.7350657,4120980.12320903 
 01/04  10:00:00,1826156.08767094,115815.126257614,8088769.99682954 
 01/04  11:00:00,5433869.01203669,0.0,11036474.5591608 
 01/04  12:00:00,7610763.96716222,0.0,12940756.4209046 
 01/04  13:00:00,8541855.76773047,0.0,13581316.4795856 
 01/04  14:00:00,7668425.8093104,0.0,12833455.3717558 
 01/04  15:00:00,5747784.13860939,0.0,11374171.1582203 
 01/04  16:00:00,2036292.54201716,0.0,8431678.24376373 
 01/04  17:00:00,0.0,2852580.70427462,4603096.75964056 
 01/04  18:00:00,0.0,7518372.35774632,322864.057304004 
 01/04  19:00:00,0.0,8517317.62086701,0.0 
 01/04  20:00:00,0.0,8248449.49736819,0.0 
 01/04  21:00:00,0.0,7699667.31931918,0.0 
 01/04  22:00:00,0.0,6949059.16540102,0.0 
 01/04  23:00:00,0.0,5559536.99371474,0.0 
 01/04  24:00:00,0.0,4918670.0022664,0.0 
 01/05  01:00:00,0.0,5627662.48768184,0.0 
 01/05  02:00:00,0.0,6195494.57883185,0.0 
 01/05  03:00:00,0.0,7316504.37369336,0.0 
 01/05  04:00:00,0.0,8621043.76643293,0.0 
 01/05  05:00:00,0.0,9640401.10256514,0.0 
 01/05  06:00:00,0.0,10996337.198406,0.0 
 01/05  07:00:00,0.0,12632689.2437878,0.0 
 01/05  08:00:00,0.0,12698199.6713771,480181.956299418 
 01/05  09:00:00,0.0,5811931.47719811,3999598.57914747 
 01/05  10:00:00,1685463.38309419,248465.63349945,7957573.35098504 
 01/05  11:00:00,5293697.79154889,0.0,10897525.0648733 
 01/05  12:00:00,7382689.03388812,0.0,12713575.3281783 
 01/05  13:00:00,8027437.61729057,0.0,13067274.1040755 
 01/05  14:00:00,8020728.36420526,0.0,13398595.835276 
 01/05  15:00:00,5468697.36590812,0.0,11269956.1886254 
 01/05  16:00:00,1754918.98342495,0.0,8068696.187671 
 01/05  17:00:00,0.0,2843449.65466825,4444132.7656854 
 01/05  18:00:00,0.0,7422793.52860877,320151.225970833 
 01/05  19:00:00,0.0,8373690.13463241,0.0 
 01/05  20:00:00,0.0,8054233.31139681,0.0 
 01/05  21:00:00,0.0,7680250.91023071,0.0 
 01/05  22:00:00,0.0,6951330.15849704,0.0 
 01/05  23:00:00,0.0,5561263.48816654,0.0 
 01/05  24:00:00,0.0,5504009.17832654,0.0 
 01/06  01:00:00,0.0,6402086.87168954,0.0 
 01/06  02:00:00,0.0,7507469.9571855,0.0 
 01/06  03:00:00,0.0,8498350.52572252,0.0 
 01/06  04:00:00,0.0,9045882.39832525,0.0 
 01/06  05:00:00,0.0,10158699.2712551,0.0 
 01/06  06:00:00,0.0,12090989.3634461,0.0 
 01/06  07:00:00,0.0,13824924.9476747,0.0 
 01/06  08:00:00,0.0,14208447.3422226,215591.658052897 
 01/06  09:00:00,0.0,10908917.6497585,2229355.67242624 
